CircleID,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60,Day 61,Day 62,Day 63,Day 64,Day 65,Day 66,Day 67,Day 68,Day 69,Day 70,Day 71,Day 72
West Bengal (+Kolkatak) + Sikkim + Andaman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,5,8,9,12,13,14,15,15,15,16,17,25,27,27,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Delhi,3,8,9,10,10,10,14,17,17,17,17,19,19,19,19,24,27,30,30,32,33,34,37,48,50,83,182,240,291,318,393,452,496,543,634,710,757,800,827,861,889,914,943,979,996,1035,1061,1072,1129,1178,1199,1214,1215,1215,1215,1215,1215,1215,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,41,63,73,95,108,127,138,145,152,162,179,210,246,269,304,348,367,378,411,427,434,450,457,468,476,479,479,479,479,479,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480
Himachal Pradesh,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,21,42,63,82,87,94,102,109,112,115,116,116,118,120,128,132,141,144,149,155,156,159,161,161,163,163,164,164,164,164,164,164,164,164,165,165,165,165,165,165,165,165,165,165,165,166
Uttar Pradesh (East),38,58,82,124,152,162,185,217,264,312,351,371,394,448,505,529,607,696,719,768,809,862,929,995,1072,1132,1243,1281,1351,1419,1475,1546,1651,1726,1761,1868,2076,2233,2451,2601,2714,2809,2934,3067,3182,3306,3365,3494,3596,3646,3722,3759,3762,3762,3762,3762,3762,3762,3762,3763,3763,3763,3763,3764,3764,3764,3764,3764,3764,3764,3764,3764
Uttar Pradesh West and Uttrakhand,8,8,10,10,10,12,12,18,34,39,39,39,44,48,50,52,54,54,54,54,57,57,71,75,86,97,104,111,115,119,120,124,126,127,142,213,241,284,354,379,388,403,410,427,433,471,485,494,508,513,514,517,517,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
Maharashtra (+Mumbai),1,1,1,1,2,2,2,4,4,5,5,5,5,5,6,6,6,6,6,6,6,8,33,47,50,75,128,247,355,436,494,577,655,737,840,1021,1124,1190,1271,1329,1350,1428,1476,1563,1670,1740,1846,1935,2010,2055,2096,2097,2097,2097,2099,2100,2100,2101,2101,2102,2102,2103,2103,2103,2103,2103,2103,2103,2104,2105,2105,2105
Madhya Pradesh + Chhatisgarh,4,6,10,11,13,17,44,160,338,421,475,521,561,603,664,712,784,850,897,966,1074,1155,1257,1337,1433,1619,1785,2002,2308,2648,3065,3386,3719,4071,4378,4661,4966,5288,5577,5868,6133,6434,6737,7006,7315,7549,7814,8134,8390,8585,8760,8833,8840,8840,8840,8843,8846,8846,8848,8848,8849,8849,8850,8851,8855,8856,8857,8857,8857,8857,8861,8861
Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,39,57,87,98,101,108,108,125,132,140,175,190,196,197,202,222,242,243,260,263,267,271,274,280,308,317,341,345,360,376,384,393,399,406,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411
Karnataka,0,0,0,0,1,1,1,1,1,2,3,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,12,14,14,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Andhra Pradesh,0,0,1,1,1,1,4,11,12,14,15,15,16,17,18,18,18,19,21,23,25,26,26,29,31,36,36,37,45,54,57,58,58,58,58,61,68,73,75,80,84,87,88,92,94,100,108,111,119,123,126,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
